"","unix_time","Attleboro","Dorchester Branch","Eastern Route Main Line","Fitchburg Main Line","Franklin Br.Via Fairmount","Franklin Branch","Gloucester Branch","Greenbush Branch","Kingston Branch","Middleboro Main Line","Needham Branch","New Hampshire Main Line","Plymouth Branch","Stoughton Branch","Western Route Main Line","Western Route Via Wildcat","Worcester Main Line"
"1",1381100400,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,5.25
"2",1381104000,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,5.25
"3",1381107600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1381111200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1381114800,0,0,0,0,0,16.75,0,0,0,0,0,0,0,0,0,0,75.5
"6",1381118400,1411.75,0,119,43.5,106.5,79.5,235.5,95,250,113.5,0,79.5,0,5,231.25,0,716.75
"7",1381122000,3512,25.75,877,1005,71,932.5,800.75,503.75,612.5,850,378,450.5,0,234.75,712.25,0,1842.75
"8",1381125600,4559,44.25,1291,2185.5,0,2157,1513.75,1215.5,1115.25,1405,830.75,1288.5,0,726.25,526,887.5,3480.25
"9",1381129200,3440.5,86.5,1222.75,1160,2.25,1639.25,627.75,1073.75,769,552.25,741.25,1033.5,0,930,686,452.25,3025.25
"10",1381132800,1227,38,571,395.5,0,556.75,180,333.5,146.25,125.5,143.25,411.25,86,175,247.5,0,1246.75
"11",1381136400,419,7.5,216.75,298,0,242.25,244.25,31.75,0,76.25,95.5,216.75,116.5,55,263.25,0,258.25
"12",1381140000,698,8,269.5,289.5,0,459,129,53.75,0,93,58.5,161.25,153,34,79.5,0,248
"13",1381143600,773,7,151.5,194,0,116.5,221.5,51.25,0,97,51.75,112.5,173.75,0,238,0,331.75
"14",1381147200,306.25,10.5,226,199.5,0,215.75,132.25,30.75,0,142.5,60,156.75,284.75,69.5,151,75,617.25
"15",1381150800,937,57.5,142,243.75,0,159.5,261,111.75,0,133,119.25,197.25,74,96.75,120.25,37.5,346.25
"16",1381154400,999.5,32.25,331,286.25,0,486.75,289,87.25,450,175,177,169.5,37,25.5,342.5,0,423.5
"17",1381158000,2229.75,45.25,568.75,612,0,1154.25,510,622.25,365,585.5,523.25,756.5,0,459,346.5,89.5,1078.75
"18",1381161600,3681.25,7.25,1186.5,1961,72.75,1855.5,1174,1130.5,1194.75,1205.5,593.25,1357.5,0,1284.75,1069.5,134.25,2746
"19",1381165200,3173,24.5,1343.5,1880.75,291,1772,1192,765,487.25,1090,1143,1084,471.75,721,1374,42.5,3114.25
"20",1381168800,1423,36.5,570.75,966.75,0,328.5,334.5,227.25,103.5,233,479,360.75,479.75,137.5,474.25,232.5,1423.5
